pip_dk;pip_dscr;nucleo;familia;area_atuacao;ano_mes;denuncia;denuncia_preenchida;denuncia_sistema;denuncia_recebida;denuncia_rejeitada;denuncia_procedente;denuncia_improcedente;processo_extinto;processo_suspenso
30070783;1ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-03;2;1;1;1;0;0;0;0;0
30070806;2ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-03;1;1;1;1;0;0;0;0;0
30070783;1ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-04;0;0;0;0;0;0;0;0;0
30070806;2ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-04;0;0;0;0;0;0;0;0;0
30070783;1ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-05;0;0;0;0;0;0;0;0;0
30070806;2ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-05;0;0;0;0;0;0;0;0;0
30070783;1ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-06;3;0;0;0;0;0;0;0;0
30070806;2ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-06;2;2;2;2;0;0;0;0;0
30069167;1ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-03;1;1;1;1;0;0;0;0;0
30069433;2ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-03;0;0;0;0;0;0;0;0;0
30069453;3ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-03;0;0;0;0;0;0;0;0;0
30069490;4ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-03;1;0;0;0;0;0;0;0;0
30069167;1ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-04;0;0;0;0;0;0;0;0;0
30069433;2ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-04;0;0;0;0;0;0;0;0;0
30069453;3ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-04;0;0;0;0;0;0;0;0;0
30069490;4ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-04;0;0;0;0;0;0;0;0;0
30069167;1ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-05;0;0;0;0;0;0;0;0;0
30069433;2ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-05;0;0;0;0;0;0;0;0;0
30069453;3ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-05;0;0;0;0;0;0;0;0;0
30069490;4ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-05;10;0;0;0;0;0;0;0;0
30069167;1ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-06;0;0;0;0;0;0;0;0;0
30069433;2ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-06;11;0;0;0;0;0;0;0;0
30069453;3ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-06;9;1;1;1;0;0;0;0;0
30069490;4ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-06;6;0;0;0;0;0;0;0;0
30069669;1ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-03;4;3;3;3;0;0;0;0;0
30069693;2ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-03;0;0;0;0;0;0;0;0;0
30069732;3ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-03;10;6;6;6;0;0;0;0;0
30070041;4ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-03;13;0;0;0;0;0;0;0;0
30069669;1ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-04;0;0;0;0;0;0;0;0;0
30069693;2ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-04;0;0;0;0;0;0;0;0;0
30069732;3ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-04;11;11;11;11;0;0;0;2;0
30070041;4ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-04;0;0;0;0;0;0;0;0;0
30069669;1ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-05;2;2;2;2;0;0;0;0;0
30069693;2ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-05;8;8;8;8;0;0;0;0;0
30069732;3ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-05;2;2;2;2;0;0;0;0;0
30070041;4ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-05;3;3;3;3;0;0;0;1;0
30069669;1ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-06;0;0;0;0;0;0;0;0;0
30069693;2ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-06;3;3;3;3;0;0;0;0;0
30069732;3ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-06;2;2;2;2;0;0;0;0;0
30070041;4ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-06;0;0;0;0;0;0;0;0;0
30034664;1ª PIP - VD Duque de Caxias;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Duque de Caxias;2020-03;0;0;0;0;0;0;0;0;0
30034664;1ª PIP - VD Duque de Caxias;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Duque de Caxias;2020-04;0;0;0;0;0;0;0;0;0
30034664;1ª PIP - VD Duque de Caxias;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Duque de Caxias;2020-05;72;0;0;0;0;0;0;0;0
30034664;1ª PIP - VD Duque de Caxias;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Duque de Caxias;2020-06;37;18;15;15;0;0;0;0;0
29941322;PIP - VD Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Nova Iguaçu;2020-03;25;10;10;10;0;0;0;0;0
29941322;PIP - VD Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Nova Iguaçu;2020-04;0;0;0;0;0;0;0;0;0
29941322;PIP - VD Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Nova Iguaçu;2020-05;4;2;2;2;0;0;0;0;0
29941322;PIP - VD Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Nova Iguaçu;2020-06;9;2;2;2;0;0;0;0;0
6115386;PIP - Barra Mansa;Interior;Interior;Barra Mansa;2020-03;14;9;7;7;0;0;0;0;0
6115386;PIP - Barra Mansa;Interior;Interior;Barra Mansa;2020-04;6;6;4;4;0;0;0;0;0
6115386;PIP - Barra Mansa;Interior;Interior;Barra Mansa;2020-05;13;10;8;8;0;0;0;0;0
6115386;PIP - Barra Mansa;Interior;Interior;Barra Mansa;2020-06;14;9;7;7;0;0;0;0;0
5679985;PIP - Cabo Frio;Interior;Interior;Cabo Frio;2020-03;17;9;7;7;0;0;0;1;0
5679985;PIP - Cabo Frio;Interior;Interior;Cabo Frio;2020-04;7;4;4;4;0;0;0;1;0
5679985;PIP - Cabo Frio;Interior;Interior;Cabo Frio;2020-05;4;3;3;3;0;0;0;0;0
5679985;PIP - Cabo Frio;Interior;Interior;Cabo Frio;2020-06;8;6;3;3;0;0;0;0;0
400731;2ª PIP - Campos;Interior;Interior;Campos;2020-03;24;1;0;0;0;0;0;0;0
400758;1ª PIP - Campos;Interior;Interior;Campos;2020-03;14;2;2;2;0;0;0;1;0
400731;2ª PIP - Campos;Interior;Interior;Campos;2020-04;3;0;0;0;0;0;0;0;0
400758;1ª PIP - Campos;Interior;Interior;Campos;2020-04;26;1;0;0;0;0;0;0;0
400731;2ª PIP - Campos;Interior;Interior;Campos;2020-05;8;0;0;0;0;0;0;0;0
400758;1ª PIP - Campos;Interior;Interior;Campos;2020-05;11;0;0;0;0;0;0;0;0
400731;2ª PIP - Campos;Interior;Interior;Campos;2020-06;9;1;1;1;0;0;0;0;0
400758;1ª PIP - Campos;Interior;Interior;Campos;2020-06;21;0;0;0;0;0;0;0;0
7419262;PIP - Itaboraí;Interior;Interior;Itaboraí;2020-03;17;16;16;16;0;0;0;0;0
7419262;PIP - Itaboraí;Interior;Interior;Itaboraí;2020-04;21;20;15;15;0;0;0;0;0
7419262;PIP - Itaboraí;Interior;Interior;Itaboraí;2020-05;6;6;6;6;0;0;0;0;0
7419262;PIP - Itaboraí;Interior;Interior;Itaboraí;2020-06;9;8;4;4;0;0;0;0;0
7419344;PIP - Itaguaí;Interior;Interior;Itaguaí;2020-03;11;6;5;5;0;0;0;0;0
7419344;PIP - Itaguaí;Interior;Interior;Itaguaí;2020-04;1;1;1;1;0;0;0;0;0
7419344;PIP - Itaguaí;Interior;Interior;Itaguaí;2020-05;0;0;0;0;0;0;0;0;0
7419344;PIP - Itaguaí;Interior;Interior;Itaguaí;2020-06;3;2;2;2;0;0;0;0;0
1249804;PIP - Macaé;Interior;Interior;Macaé;2020-03;66;0;0;0;0;0;0;0;0
1249804;PIP - Macaé;Interior;Interior;Macaé;2020-04;5;0;0;0;0;0;0;0;0
1249804;PIP - Macaé;Interior;Interior;Macaé;2020-05;10;0;0;0;0;0;0;0;0
1249804;PIP - Macaé;Interior;Interior;Macaé;2020-06;13;0;0;0;0;0;0;0;0
300987;PIP - Nova Friburgo;Interior;Interior;Nova Friburgo;2020-03;5;4;3;3;0;0;0;1;0
300987;PIP - Nova Friburgo;Interior;Interior;Nova Friburgo;2020-04;1;1;1;1;0;0;0;0;0
300987;PIP - Nova Friburgo;Interior;Interior;Nova Friburgo;2020-05;3;3;1;1;0;0;0;0;0
300987;PIP - Nova Friburgo;Interior;Interior;Nova Friburgo;2020-06;2;2;1;1;0;0;0;0;0
400736;PIP - Petrópolis;Interior;Interior;Petrópolis;2020-03;66;58;37;37;0;0;0;1;0
400736;PIP - Petrópolis;Interior;Interior;Petrópolis;2020-04;60;58;37;37;0;0;0;1;0
400736;PIP - Petrópolis;Interior;Interior;Petrópolis;2020-05;81;81;44;44;0;0;0;4;0
400736;PIP - Petrópolis;Interior;Interior;Petrópolis;2020-06;42;41;14;14;0;0;0;3;0
300977;PIP - Volta Redonda;Interior;Interior;Volta Redonda;2020-03;2;0;0;0;0;0;0;0;0
300977;PIP - Volta Redonda;Interior;Interior;Volta Redonda;2020-04;7;0;0;0;0;0;0;0;0
300977;PIP - Volta Redonda;Interior;Interior;Volta Redonda;2020-05;7;0;0;0;0;0;0;0;0
300977;PIP - Volta Redonda;Interior;Interior;Volta Redonda;2020-06;22;0;0;0;0;0;0;0;0
29941368;1ª PIP - Especializada Niterói/São Gonçalo;Niterói/São Gonçalo;Especializada;Niterói/São Gonçalo;2020-03;1;1;1;1;0;0;0;0;0
30061803;2ª PIP - Especializada Niterói/São Gonçalo;Niterói/São Gonçalo;Especializada;Niterói/São Gonçalo;2020-03;2;1;1;1;0;0;0;1;0
29941368;1ª PIP - Especializada Niterói/São Gonçalo;Niterói/São Gonçalo;Especializada;Niterói/São Gonçalo;2020-04;0;0;0;0;0;0;0;0;0
30061803;2ª PIP - Especializada Niterói/São Gonçalo;Niterói/São Gonçalo;Especializada;Niterói/São Gonçalo;2020-04;1;1;1;1;0;0;0;1;0
29941368;1ª PIP - Especializada Niterói/São Gonçalo;Niterói/São Gonçalo;Especializada;Niterói/São Gonçalo;2020-05;1;1;0;0;0;0;0;0;0
30061803;2ª PIP - Especializada Niterói/São Gonçalo;Niterói/São Gonçalo;Especializada;Niterói/São Gonçalo;2020-05;2;2;1;1;0;0;0;1;0
29941368;1ª PIP - Especializada Niterói/São Gonçalo;Niterói/São Gonçalo;Especializada;Niterói/São Gonçalo;2020-06;0;0;0;0;0;0;0;0;0
30061803;2ª PIP - Especializada Niterói/São Gonçalo;Niterói/São Gonçalo;Especializada;Niterói/São Gonçalo;2020-06;0;0;0;0;0;0;0;0;0
30034384;1ª PIP - Niterói;Niterói/São Gonçalo;Territorial;Niterói;2020-03;11;11;7;7;0;0;0;3;0
30061094;2ª PIP - Niterói;Niterói/São Gonçalo;Territorial;Niterói;2020-03;18;17;13;13;0;0;0;0;0
30034384;1ª PIP - Niterói;Niterói/São Gonçalo;Territorial;Niterói;2020-04;11;11;10;10;0;0;0;0;0
30061094;2ª PIP - Niterói;Niterói/São Gonçalo;Territorial;Niterói;2020-04;11;11;10;10;0;0;0;0;0
30034384;1ª PIP - Niterói;Niterói/São Gonçalo;Territorial;Niterói;2020-05;11;11;7;7;0;0;0;0;0
30061094;2ª PIP - Niterói;Niterói/São Gonçalo;Territorial;Niterói;2020-05;16;14;13;13;0;0;0;1;0
30034384;1ª PIP - Niterói;Niterói/São Gonçalo;Territorial;Niterói;2020-06;14;14;12;12;0;0;0;0;0
30061094;2ª PIP - Niterói;Niterói/São Gonçalo;Territorial;Niterói;2020-06;12;12;11;11;0;0;0;1;0
30061624;1ª PIP - São Gonçalo;Niterói/São Gonçalo;Territorial;São Gonçalo;2020-03;0;0;0;0;0;0;0;0;0
30061694;2ª PIP - São Gonçalo;Niterói/São Gonçalo;Territorial;São Gonçalo;2020-03;2;2;1;1;0;0;0;0;0
30061723;3ª PIP - São Gonçalo;Niterói/São Gonçalo;Territorial;São Gonçalo;2020-03;2;2;2;2;0;0;0;0;0
30061624;1ª PIP - São Gonçalo;Niterói/São Gonçalo;Territorial;São Gonçalo;2020-04;2;2;2;2;0;0;0;0;0
30061694;2ª PIP - São Gonçalo;Niterói/São Gonçalo;Territorial;São Gonçalo;2020-04;3;3;0;0;0;0;0;0;0
30061723;3ª PIP - São Gonçalo;Niterói/São Gonçalo;Territorial;São Gonçalo;2020-04;1;1;1;1;0;0;0;0;0
30061624;1ª PIP - São Gonçalo;Niterói/São Gonçalo;Territorial;São Gonçalo;2020-05;6;6;5;5;0;0;0;0;0
30061694;2ª PIP - São Gonçalo;Niterói/São Gonçalo;Territorial;São Gonçalo;2020-05;2;2;1;1;0;0;0;0;0
30061723;3ª PIP - São Gonçalo;Niterói/São Gonçalo;Territorial;São Gonçalo;2020-05;2;2;2;2;0;0;0;0;0
30061624;1ª PIP - São Gonçalo;Niterói/São Gonçalo;Territorial;São Gonçalo;2020-06;4;2;2;2;0;0;0;0;0
30061694;2ª PIP - São Gonçalo;Niterói/São Gonçalo;Territorial;São Gonçalo;2020-06;20;18;15;15;0;0;0;1;0
30061723;3ª PIP - São Gonçalo;Niterói/São Gonçalo;Territorial;São Gonçalo;2020-06;2;1;1;1;0;0;0;0;0
30061329;PIP - VD Niterói;Niterói/São Gonçalo;Violência contra mulher;Área Niterói;2020-03;31;31;13;13;0;0;0;1;0
30061329;PIP - VD Niterói;Niterói/São Gonçalo;Violência contra mulher;Área Niterói;2020-04;0;0;0;0;0;0;0;0;0
30061329;PIP - VD Niterói;Niterói/São Gonçalo;Violência contra mulher;Área Niterói;2020-05;4;4;1;1;0;0;0;0;0
30061329;PIP - VD Niterói;Niterói/São Gonçalo;Violência contra mulher;Área Niterói;2020-06;8;8;6;6;0;0;0;0;0
30034671;PIP - VD São Gonçalo;Niterói/São Gonçalo;Violência contra mulher;Área São Gonçalo;2020-03;2;2;1;1;0;0;0;0;0
30034671;PIP - VD São Gonçalo;Niterói/São Gonçalo;Violência contra mulher;Área São Gonçalo;2020-04;27;27;24;24;0;0;0;2;0
30034671;PIP - VD São Gonçalo;Niterói/São Gonçalo;Violência contra mulher;Área São Gonçalo;2020-05;32;32;31;31;0;0;0;1;0
30034671;PIP - VD São Gonçalo;Niterói/São Gonçalo;Violência contra mulher;Área São Gonçalo;2020-06;40;39;34;34;0;0;0;0;0
